"","all_util","annual_inc","chargeoff_within_12_mths","collections_12_mths_ex_med","delinq_2yrs","dti","emp_length","fico_range_low","inq_fi","inq_last_12m","loan_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mort_acc","mths_since_rcnt_il","mths_since_recent_bc","mths_since_recent_inq","open_acc","pub_rec","pub_rec_bankruptcies","tot_coll_amt","total_bal_ex_mort","int_rate"
"all_util",1,0.03,-0.01,-0.02,0.01,0.09,0,-0.47,0.04,0,0.01,0.09,-0.08,-0.02,-0.06,0.11,0.03,-0.04,-0.02,-0.02,-0.01,0.26,0.32
"annual_inc",0.03,1,0,0,0.04,-0.12,0.09,0.01,0.06,0.07,0.24,0.12,0.12,0.17,-0.06,0.01,-0.02,0.15,-0.03,-0.03,-0.01,0.28,-0.06
"chargeoff_within_12_mths",-0.01,0,1,0.05,0.16,-0.01,0,-0.05,0,0,-0.01,0.02,0.02,0.01,0,0,0,0,-0.01,-0.01,0.01,-0.01,0.02
"collections_12_mths_ex_med",-0.02,0,0.05,1,0.06,-0.01,0,-0.07,0,0.01,-0.02,0,-0.01,-0.01,0.01,0,0,0,-0.01,-0.01,0.09,-0.01,0.03
"delinq_2yrs",0.01,0.04,0.16,0.06,1,-0.03,0.02,-0.17,-0.01,0.02,-0.03,0.07,0.08,0.07,0.03,0.05,-0.02,0.02,-0.04,-0.04,0.01,0.01,0.09
"dti",0.09,-0.12,-0.01,-0.01,-0.03,1,-0.01,0.02,0.05,0.02,0.06,0.07,0.04,0.02,-0.08,0.01,0.03,0.13,0,0,0,0.16,0.1
"emp_length",0,0.09,0,0,0.02,-0.01,1,0.04,0.05,0.02,0.09,0.13,0.1,0.15,-0.06,0.04,0.01,0.11,0.01,0.01,0,0.07,-0.01
"fico_range_low",-0.47,0.01,-0.05,-0.07,-0.17,0.02,0.04,1,-0.04,-0.08,0.1,0.04,0.2,0.13,-0.06,0.09,0.03,0,-0.15,-0.15,-0.07,-0.01,-0.43
"inq_fi",0.04,0.06,0,0,-0.01,0.05,0.05,-0.04,1,0.57,-0.06,0.05,-0.02,0.1,-0.26,-0.07,-0.08,0.16,0.09,0.09,0.02,0.12,0.12
"inq_last_12m",0,0.07,0,0.01,0.02,0.02,0.02,-0.08,0.57,1,-0.02,0.05,-0.04,0.16,-0.22,-0.14,-0.35,0.23,0.09,0.09,0.02,0.14,0.11
"loan_amnt",0.01,0.24,-0.01,-0.02,-0.03,0.06,0.09,0.1,-0.06,-0.02,1,0.14,0.18,0.21,0.04,0.04,0,0.16,-0.06,-0.06,-0.02,0.28,-0.08
"mo_sin_old_il_acct",0.09,0.12,0.02,0,0.07,0.07,0.13,0.04,0.05,0.05,0.14,1,0.22,0.21,0.08,0.06,-0.01,0.21,0.01,0.01,0.01,0.3,-0.04
"mo_sin_old_rev_tl_op",-0.08,0.12,0.02,-0.01,0.08,0.04,0.1,0.2,-0.02,-0.04,0.18,0.22,1,0.27,0.03,0.16,0,0.14,-0.03,-0.03,0,0.15,-0.12
"mort_acc",-0.02,0.17,0.01,-0.01,0.07,0.02,0.15,0.13,0.1,0.16,0.21,0.21,0.27,1,-0.06,0.06,-0.06,0.15,-0.04,-0.04,-0.01,0.21,-0.1
"mths_since_rcnt_il",-0.06,-0.06,0,0.01,0.03,-0.08,-0.06,-0.06,-0.26,-0.22,0.04,0.08,0.03,-0.06,1,0.04,0.01,-0.15,-0.03,-0.03,0,-0.15,-0.07
"mths_since_recent_bc",0.11,0.01,0,0,0.05,0.01,0.04,0.09,-0.07,-0.14,0.04,0.06,0.16,0.06,0.04,1,0.05,-0.23,-0.06,-0.06,-0.01,0.02,-0.06
"mths_since_recent_inq",0.03,-0.02,0,0,-0.02,0.03,0.01,0.03,-0.08,-0.35,0,-0.01,0,-0.06,0.01,0.05,1,-0.07,-0.03,-0.03,-0.01,-0.02,-0.04
"open_acc",-0.04,0.15,0,0,0.02,0.13,0.11,0,0.16,0.23,0.16,0.21,0.14,0.15,-0.15,-0.23,-0.07,1,0.03,0.03,0,0.4,0.01
"pub_rec",-0.02,-0.03,-0.01,-0.01,-0.04,0,0.01,-0.15,0.09,0.09,-0.06,0.01,-0.03,-0.04,-0.03,-0.06,-0.03,0.03,1,1,-0.01,-0.05,0.04
"pub_rec_bankruptcies",-0.02,-0.03,-0.01,-0.01,-0.04,0,0.01,-0.15,0.09,0.09,-0.06,0.01,-0.03,-0.04,-0.03,-0.06,-0.03,0.03,1,1,-0.01,-0.05,0.04
"tot_coll_amt",-0.01,-0.01,0.01,0.09,0.01,0,0,-0.07,0.02,0.02,-0.02,0.01,0,-0.01,0,-0.01,-0.01,0,-0.01,-0.01,1,-0.01,0.03
"total_bal_ex_mort",0.26,0.28,-0.01,-0.01,0.01,0.16,0.07,-0.01,0.12,0.14,0.28,0.3,0.15,0.21,-0.15,0.02,-0.02,0.4,-0.05,-0.05,-0.01,1,0.02
"int_rate",0.32,-0.06,0.02,0.03,0.09,0.1,-0.01,-0.43,0.12,0.11,-0.08,-0.04,-0.12,-0.1,-0.07,-0.06,-0.04,0.01,0.04,0.04,0.03,0.02,1
